DCALENDARIO[ANO]	DCALENDARIO[NUMEROMES]	DCALENDARIO[NOMEMES]	DCALENDARIO[TRIMESTRE]	DCALENDARIO[TRI ANO]	DCALENDARIO[SEM]	VMQ_TSIEMP[RAZAOABREV]	VMQ_TSICUS[CODCENCUS]	VMQ_TSICUS[DESCRCENCUS]	VMQ_CADDRE[BLOCO]	VMQ_CADDRE[TITULO]	VMQ_TGFNAT[DESCRNAT]	[ORCADO]	[REALIZADO]	[VB_ORCADO]	[VB_REALIZADO]
2023	12	dez	T4	T4-2023	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-20		6636875	0
2023	9	set	T3	T3-2023	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-755		7392012	0
2023	9	set	T3	T3-2023	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-20		7392012	0
2023	10	out	T4	T4-2023	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-755		8620852	0
2023	12	dez	T4	T4-2023	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1007		6636875	0
2023	11	nov	T4	T4-2023	2º Sem.	Consolidação	12010000	E-COMMERCE	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-19		8743403	0
2023	7	jul	T3	T3-2023	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1373		5341477	0
2023	11	nov	T4	T4-2023	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2438		8743403	0
2023	8	ago	T3	T3-2023	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2788		6376723	0
2023	11	nov	T4	T4-2023	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-3959		8743403	0
2024	8	ago	T3	T3-2024	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-10414		6054278	737784,3344
2024	12	dez	T4	T4-2024	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1320		6011955	1242067,84
2024	7	jul	T3	T3-2024	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-67		5615791,31	872080,2154
2023	12	dez	T4	T4-2023	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-30		6636875	0
2023	9	set	T3	T3-2023	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-35		7392012	0
2023	10	out	T4	T4-2023	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-42		8620852	0
2024	8	ago	T3	T3-2024	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-4		6054278	737784,3344
2023	11	nov	T4	T4-2023	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-42		8743403	0
2024	7	jul	T3	T3-2024	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1488,53		5615791,31	872080,2154
2024	11	nov	T4	T4-2024	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-3433		7643263	956761,4572
2024	9	set	T3	T3-2024	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-3051		6793771	708584,88
2024	7	jul	T3	T3-2024	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1415,51		5615791,31	872080,2154
2024	10	out	T4	T4-2024	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-3433		7487771	825631,242
2024	12	dez	T4	T4-2024	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2517		6011955	1242067,84
2024	10	out	T4	T4-2024	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1800		7487771	825631,242
2024	7	jul	T3	T3-2024	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-269		5615791,31	872080,2154
2024	8	ago	T3	T3-2024	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-3177		6054278	737784,3344
2024	10	out	T4	T4-2024	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-4050		7487771	825631,242
2024	8	ago	T3	T3-2024	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1412		6054278	737784,3344
2024	9	set	T3	T3-2024	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1600		6793771	708584,88
2024	11	nov	T4	T4-2024	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-4050		7643263	956761,4572
2024	11	nov	T4	T4-2024	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1800		7643263	956761,4572
2024	8	ago	T3	T3-2024	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2693		6054278	737784,3344
2024	12	dez	T4	T4-2024	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-9735		6011955	1242067,84
2024	9	set	T3	T3-2024	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-3600		6793771	708584,88
2024	9	set	T3	T3-2024	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-11800		6793771	708584,88
2024	10	out	T4	T4-2024	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-7		7487771	825631,242
2024	7	jul	T3	T3-2024	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5,94		5615791,31	872080,2154
